,site,temperature,respiration
0,FI-Hyy,-10.0,2.162
0,FI-Hyy,-9.5,2.175
0,FI-Hyy,-9.0,2.188
0,FI-Hyy,-8.5,2.203
0,FI-Hyy,-8.0,2.215
0,FI-Hyy,-7.5,2.228
0,FI-Hyy,-7.0,2.24
0,FI-Hyy,-6.5,2.252
0,FI-Hyy,-6.0,2.264
0,FI-Hyy,-5.5,2.275
0,FI-Hyy,-5.0,2.285
0,FI-Hyy,-4.5,2.294
0,FI-Hyy,-4.0,2.301
0,FI-Hyy,-3.5,2.31
0,FI-Hyy,-3.0,2.317
0,FI-Hyy,-2.5,2.324
0,FI-Hyy,-2.0,2.33
0,FI-Hyy,-1.5,2.337
0,FI-Hyy,-1.0,2.343
0,FI-Hyy,-0.5,2.357
0,FI-Hyy,0.0,2.363
0,FI-Hyy,0.5,2.368
0,FI-Hyy,1.0,2.373
0,FI-Hyy,1.5,2.378
0,FI-Hyy,2.0,2.382
0,FI-Hyy,2.5,2.386
0,FI-Hyy,3.0,2.39
0,FI-Hyy,3.5,2.393
0,FI-Hyy,4.0,2.396
0,FI-Hyy,4.5,2.399
0,FI-Hyy,5.0,2.402
0,FI-Hyy,5.5,2.405
0,FI-Hyy,6.0,2.407
0,FI-Hyy,6.5,2.41
0,FI-Hyy,7.0,2.412
0,FI-Hyy,7.5,2.415
0,FI-Hyy,8.0,2.417
0,FI-Hyy,8.5,2.419
0,FI-Hyy,9.0,2.421
0,FI-Hyy,9.5,2.423
1,GH-Ank,-10.0,1.292
1,GH-Ank,-9.5,1.293
1,GH-Ank,-9.0,1.294
1,GH-Ank,-8.5,1.296
1,GH-Ank,-8.0,1.297
1,GH-Ank,-7.5,1.298
1,GH-Ank,-7.0,1.299
1,GH-Ank,-6.5,1.3
1,GH-Ank,-6.0,1.301
1,GH-Ank,-5.5,1.302
1,GH-Ank,-5.0,1.303
1,GH-Ank,-4.5,1.304
1,GH-Ank,-4.0,1.305
1,GH-Ank,-3.5,1.306
1,GH-Ank,-3.0,1.306
1,GH-Ank,-2.5,1.307
1,GH-Ank,-2.0,1.308
1,GH-Ank,-1.5,1.309
1,GH-Ank,-1.0,1.309
1,GH-Ank,-0.5,1.31
1,GH-Ank,0.0,1.311
1,GH-Ank,0.5,1.311
1,GH-Ank,1.0,1.312
1,GH-Ank,1.5,1.312
1,GH-Ank,2.0,1.313
1,GH-Ank,2.5,1.313
1,GH-Ank,3.0,1.314
1,GH-Ank,3.5,1.314
1,GH-Ank,4.0,1.315
1,GH-Ank,4.5,1.315
1,GH-Ank,5.0,1.315
1,GH-Ank,5.5,1.316
1,GH-Ank,6.0,1.316
1,GH-Ank,6.5,1.316
1,GH-Ank,7.0,1.317
1,GH-Ank,7.5,1.317
1,GH-Ank,8.0,1.317
1,GH-Ank,8.5,1.317
1,GH-Ank,9.0,1.318
1,GH-Ank,9.5,1.318
2,CA-TVC,-10.0,0.29
2,CA-TVC,-9.5,0.295
2,CA-TVC,-9.0,0.299
2,CA-TVC,-8.5,0.302
2,CA-TVC,-8.0,0.306
2,CA-TVC,-7.5,0.309
2,CA-TVC,-7.0,0.312
2,CA-TVC,-6.5,0.315
2,CA-TVC,-6.0,0.318
2,CA-TVC,-5.5,0.321
2,CA-TVC,-5.0,0.324
2,CA-TVC,-4.5,0.327
2,CA-TVC,-4.0,0.33
2,CA-TVC,-3.5,0.333
2,CA-TVC,-3.0,0.336
2,CA-TVC,-2.5,0.339
2,CA-TVC,-2.0,0.342
2,CA-TVC,-1.5,0.345
2,CA-TVC,-1.0,0.351
2,CA-TVC,-0.5,0.388
2,CA-TVC,0.0,0.39
2,CA-TVC,0.5,0.393
2,CA-TVC,1.0,0.395
2,CA-TVC,1.5,0.397
2,CA-TVC,2.0,0.399
2,CA-TVC,2.5,0.402
2,CA-TVC,3.0,0.404
2,CA-TVC,3.5,0.406
2,CA-TVC,4.0,0.407
2,CA-TVC,4.5,0.409
2,CA-TVC,5.0,0.41
2,CA-TVC,5.5,0.412
2,CA-TVC,6.0,0.413
2,CA-TVC,6.5,0.414
2,CA-TVC,7.0,0.415
2,CA-TVC,7.5,0.416
2,CA-TVC,8.0,0.417
2,CA-TVC,8.5,0.418
2,CA-TVC,9.0,0.419
2,CA-TVC,9.5,0.42
