,0,1,2
0,FI-Hyy,0.0,0.866
0,FI-Hyy,0.0,0.91
0,FI-Hyy,0.0,0.946
0,FI-Hyy,0.0,0.983
0,FI-Hyy,0.0,1.024
0,FI-Hyy,0.0,1.063
0,FI-Hyy,0.0,1.102
0,FI-Hyy,0.0,1.14
0,FI-Hyy,0.0,1.178
0,FI-Hyy,0.0,1.216
0,FI-Hyy,0.5,0.866
0,FI-Hyy,0.5,0.91
0,FI-Hyy,0.5,0.946
0,FI-Hyy,0.5,0.983
0,FI-Hyy,0.5,1.024
0,FI-Hyy,0.5,1.063
0,FI-Hyy,0.5,1.102
0,FI-Hyy,0.5,1.14
0,FI-Hyy,0.5,1.178
0,FI-Hyy,0.5,1.216
0,FI-Hyy,1.0,0.866
0,FI-Hyy,1.0,0.91
0,FI-Hyy,1.0,0.946
0,FI-Hyy,1.0,0.983
0,FI-Hyy,1.0,1.024
0,FI-Hyy,1.0,1.063
0,FI-Hyy,1.0,1.102
0,FI-Hyy,1.0,1.14
0,FI-Hyy,1.0,1.178
0,FI-Hyy,1.0,1.216
0,FI-Hyy,1.5,0.866
0,FI-Hyy,1.5,0.91
0,FI-Hyy,1.5,0.946
0,FI-Hyy,1.5,0.983
0,FI-Hyy,1.5,1.024
0,FI-Hyy,1.5,1.063
0,FI-Hyy,1.5,1.102
0,FI-Hyy,1.5,1.14
0,FI-Hyy,1.5,1.178
0,FI-Hyy,1.5,1.216
0,FI-Hyy,2.0,0.866
0,FI-Hyy,2.0,0.91
0,FI-Hyy,2.0,0.946
0,FI-Hyy,2.0,0.983
0,FI-Hyy,2.0,1.024
0,FI-Hyy,2.0,1.063
0,FI-Hyy,2.0,1.102
0,FI-Hyy,2.0,1.14
0,FI-Hyy,2.0,1.178
0,FI-Hyy,2.0,1.216
0,FI-Hyy,2.5,0.866
0,FI-Hyy,2.5,0.91
0,FI-Hyy,2.5,0.946
0,FI-Hyy,2.5,0.983
0,FI-Hyy,2.5,1.024
0,FI-Hyy,2.5,1.063
0,FI-Hyy,2.5,1.102
0,FI-Hyy,2.5,1.14
0,FI-Hyy,2.5,1.178
0,FI-Hyy,2.5,1.216
0,FI-Hyy,3.0,0.866
0,FI-Hyy,3.0,0.91
0,FI-Hyy,3.0,0.946
0,FI-Hyy,3.0,0.983
0,FI-Hyy,3.0,1.024
0,FI-Hyy,3.0,1.063
0,FI-Hyy,3.0,1.102
0,FI-Hyy,3.0,1.14
0,FI-Hyy,3.0,1.178
0,FI-Hyy,3.0,1.216
0,FI-Hyy,3.5,0.866
0,FI-Hyy,3.5,0.91
0,FI-Hyy,3.5,0.946
0,FI-Hyy,3.5,0.983
0,FI-Hyy,3.5,1.024
0,FI-Hyy,3.5,1.063
0,FI-Hyy,3.5,1.102
0,FI-Hyy,3.5,1.14
0,FI-Hyy,3.5,1.178
0,FI-Hyy,3.5,1.216
0,FI-Hyy,4.0,0.866
0,FI-Hyy,4.0,0.91
0,FI-Hyy,4.0,0.946
0,FI-Hyy,4.0,0.983
0,FI-Hyy,4.0,1.024
0,FI-Hyy,4.0,1.063
0,FI-Hyy,4.0,1.102
0,FI-Hyy,4.0,1.14
0,FI-Hyy,4.0,1.178
0,FI-Hyy,4.0,1.216
0,FI-Hyy,4.5,0.866
0,FI-Hyy,4.5,0.91
0,FI-Hyy,4.5,0.946
0,FI-Hyy,4.5,0.983
0,FI-Hyy,4.5,1.024
0,FI-Hyy,4.5,1.063
0,FI-Hyy,4.5,1.102
0,FI-Hyy,4.5,1.14
0,FI-Hyy,4.5,1.178
0,FI-Hyy,4.5,1.216
1,GH-Ank,0.0,0.864
1,GH-Ank,0.0,0.885
1,GH-Ank,0.0,0.907
1,GH-Ank,0.0,0.928
1,GH-Ank,0.0,0.949
1,GH-Ank,0.0,0.971
1,GH-Ank,0.0,0.992
1,GH-Ank,0.0,1.013
1,GH-Ank,0.0,1.034
1,GH-Ank,0.0,1.054
1,GH-Ank,0.5,0.864
1,GH-Ank,0.5,0.885
1,GH-Ank,0.5,0.907
1,GH-Ank,0.5,0.928
1,GH-Ank,0.5,0.949
1,GH-Ank,0.5,0.971
1,GH-Ank,0.5,0.992
1,GH-Ank,0.5,1.013
1,GH-Ank,0.5,1.034
1,GH-Ank,0.5,1.054
1,GH-Ank,1.0,0.864
1,GH-Ank,1.0,0.885
1,GH-Ank,1.0,0.907
1,GH-Ank,1.0,0.928
1,GH-Ank,1.0,0.949
1,GH-Ank,1.0,0.971
1,GH-Ank,1.0,0.992
1,GH-Ank,1.0,1.013
1,GH-Ank,1.0,1.034
1,GH-Ank,1.0,1.054
1,GH-Ank,1.5,0.864
1,GH-Ank,1.5,0.885
1,GH-Ank,1.5,0.907
1,GH-Ank,1.5,0.928
1,GH-Ank,1.5,0.949
1,GH-Ank,1.5,0.971
1,GH-Ank,1.5,0.992
1,GH-Ank,1.5,1.013
1,GH-Ank,1.5,1.034
1,GH-Ank,1.5,1.054
1,GH-Ank,2.0,0.864
1,GH-Ank,2.0,0.885
1,GH-Ank,2.0,0.907
1,GH-Ank,2.0,0.928
1,GH-Ank,2.0,0.949
1,GH-Ank,2.0,0.971
1,GH-Ank,2.0,0.992
1,GH-Ank,2.0,1.013
1,GH-Ank,2.0,1.034
1,GH-Ank,2.0,1.054
1,GH-Ank,2.5,0.864
1,GH-Ank,2.5,0.885
1,GH-Ank,2.5,0.907
1,GH-Ank,2.5,0.928
1,GH-Ank,2.5,0.949
1,GH-Ank,2.5,0.971
1,GH-Ank,2.5,0.992
1,GH-Ank,2.5,1.013
1,GH-Ank,2.5,1.034
1,GH-Ank,2.5,1.054
1,GH-Ank,3.0,0.864
1,GH-Ank,3.0,0.885
1,GH-Ank,3.0,0.907
1,GH-Ank,3.0,0.928
1,GH-Ank,3.0,0.949
1,GH-Ank,3.0,0.971
1,GH-Ank,3.0,0.992
1,GH-Ank,3.0,1.013
1,GH-Ank,3.0,1.034
1,GH-Ank,3.0,1.054
1,GH-Ank,3.5,0.864
1,GH-Ank,3.5,0.885
1,GH-Ank,3.5,0.907
1,GH-Ank,3.5,0.928
1,GH-Ank,3.5,0.949
1,GH-Ank,3.5,0.971
1,GH-Ank,3.5,0.992
1,GH-Ank,3.5,1.013
1,GH-Ank,3.5,1.034
1,GH-Ank,3.5,1.054
1,GH-Ank,4.0,0.864
1,GH-Ank,4.0,0.885
1,GH-Ank,4.0,0.907
1,GH-Ank,4.0,0.928
1,GH-Ank,4.0,0.949
1,GH-Ank,4.0,0.971
1,GH-Ank,4.0,0.992
1,GH-Ank,4.0,1.013
1,GH-Ank,4.0,1.034
1,GH-Ank,4.0,1.054
1,GH-Ank,4.5,0.864
1,GH-Ank,4.5,0.885
1,GH-Ank,4.5,0.907
1,GH-Ank,4.5,0.928
1,GH-Ank,4.5,0.949
1,GH-Ank,4.5,0.971
1,GH-Ank,4.5,0.992
1,GH-Ank,4.5,1.013
1,GH-Ank,4.5,1.034
1,GH-Ank,4.5,1.054
2,CA-TVC,0.0,0.139
2,CA-TVC,0.0,0.154
2,CA-TVC,0.0,0.168
2,CA-TVC,0.0,0.18
2,CA-TVC,0.0,0.191
2,CA-TVC,0.0,0.205
2,CA-TVC,0.0,0.218
2,CA-TVC,0.0,0.23
2,CA-TVC,0.0,0.242
2,CA-TVC,0.0,0.255
2,CA-TVC,0.5,0.139
2,CA-TVC,0.5,0.154
2,CA-TVC,0.5,0.168
